datetime,instrument,score
2019-01-02,SZ300136,0.5397553
2019-01-02,SZ300144,0.39171362
2019-01-02,SZ002044,0.1769286
2019-01-02,SH601877,0.39647615
2019-01-02,SH600489,-0.056609824
2019-01-02,SZ002120,-0.42632315
2019-01-02,SH600900,0.08893551
2019-01-02,SZ002475,0.2026407
2019-01-02,SZ300072,-0.07260082
2019-01-03,SZ002230,-0.076162905
2019-01-03,SZ002925,-0.080352485
2019-01-03,SH600415,0.25696957
2019-01-03,SZ300136,0.322887
2019-01-03,SZ002714,0.37147874
2019-01-03,SH600438,0.27735394
2019-01-03,SH600760,0.03929434
2019-01-03,SZ300124,0.26277316
2019-01-03,SH600406,-0.05571837
2019-01-03,SZ002415,0.10644162
2019-01-03,SH600977,0.0076175183
2019-01-03,SH600867,0.6098895
2019-01-03,SZ000625,0.3710634
2019-01-03,SZ002153,0.22815382
2019-01-03,SZ000703,-0.037176937
2019-01-03,SH600498,0.053143725
2019-01-03,SH600487,0.26290765
2019-01-03,SZ000063,0.1590673
2019-01-03,SH603833,0.2547415
2019-01-03,SH601611,-0.08434871
2019-01-03,SZ000876,0.09168716
2019-01-03,SZ002050,0.40049127
2019-01-03,SZ002179,0.37406275
2019-01-03,SZ000895,0.31238818
2019-01-03,SH600372,0.15506898
2019-01-03,SZ002236,0.10248333
2019-01-03,SZ002475,0.67368853
2019-01-03,SH600570,0.048736542
2019-01-03,SZ002008,0.09850712
2019-01-03,SH603986,0.3641629
2019-01-03,SZ000100,0.6519914
2019-01-03,SH601333,-0.07991697
2019-01-03,SZ300408,0.531565
2019-01-03,SZ002773,0.15071353
2019-01-03,SH600893,0.06479953
2019-01-03,SH600588,0.4931489
2019-01-03,SZ300142,0.025692433
2019-01-03,SH601877,0.15821399
2019-01-03,SH600522,0.054733455
2019-01-03,SZ000402,0.19862731
2019-01-03,SZ000768,0.24220562
2019-01-03,SH600025,0.1457426
2019-01-03,SZ000839,0.27382433
2019-01-03,SH600038,0.32993478
2019-01-03,SH600029,0.20860642
2019-01-03,SZ002065,0.16712591
2019-01-03,SH601012,0.36284605
2019-01-03,SH600362,0.21408072
2019-01-03,SH601989,-0.046035722
2019-01-03,SZ000938,0.23978159
2019-01-03,SH600089,0.15568501
2019-01-03,SH600704,0.45861948
2019-01-03,SZ002797,0.08891417
2019-01-03,SZ002271,0.28318033
2019-01-03,SH600339,0.5273396
2019-01-03,SZ002555,0.80038977
2019-01-03,SH600585,0.206949
2019-01-03,SH600703,0.46793592
2019-01-03,SZ002311,0.17156145
2019-01-03,SH600118,0.47089997
2019-01-03,SH601111,0.1942505
2019-01-03,SZ002572,0.4990688
2019-01-03,SH601985,0.35318813
2019-01-03,SZ000538,0.16416605
2019-01-03,SH601360,0.239161
2019-01-03,SH603160,0.1776407
2019-01-03,SZ002450,0.20976493
2019-01-03,SZ002032,0.5261936
2019-01-03,SZ002241,0.013692401
2019-01-03,SH600219,0.28597173
2019-01-03,SZ002202,0.35089335
2019-01-03,SH601669,0.31632245
2019-01-03,SH601992,0.32260835
2019-01-03,SZ002001,-0.09237158
2019-01-03,SH601888,0.20074567
2019-01-03,SZ000661,0.77826667
2019-01-03,SH600549,0.20902811
2019-01-03,SH600741,0.47658676
2019-01-03,SH600115,0.023505136
2019-01-03,SH601919,0.12954141
2019-01-03,SZ300033,0.0861554
2019-01-03,SH601212,0.48321837
2019-01-03,SH601633,0.3575307
2019-01-03,SZ000503,0.68525624
2019-01-03,SH600028,0.16563481
2019-01-03,SH603993,0.017176569
2019-01-03,SZ300433,0.26649272
